PROJ_NAME,ZIPCODE,SECTION8,RES_UNITS,ST_NUM,ST_NAME,CITY
Ten Most Wanted - 9,2121.0,,2,,,
Tent City,2116.0,,270,130.0,Dartmouth St, Boston
Thane St Apts,2124.0,Y,6,587.0,Washington St, Boston
The 1850 Condominium,2118.0,,87,90.0,Wareham St, Boston
The Aberdeen,2125.0,,40,1650.0,Commonwealth Ave, Boston
The Anchorage,2129.0,,112,103.0,9th St, Charlestown
The Andi (South Bay Town Center Building C),2125.0,,215,4.0,Lucy St, Boston
The Beverly,2114.0,,239,101.0,Beverly St, Boston
The Boulevard,2110.0,,36,,Atlantic Ave, Boston
The Brownstones,2116.0,,35,111.0,Dartmouth St, Boston
The Bryant,2116.0,,50,303.0,Columbus Ave, Boston
The Bulfinch,2120.0,,5,116.0,Huntington Ave, Boston
The Carillon,2115.0,,31,185.0,Massachusetts Ave, Boston
The Chester,2118.0,Y,17,,Chester Park, Boston
The Clarendon,2116.0,,285,400.0,Stuart St, Boston
The Clarion,2121.0,,39,311.0,Blue Hill Avenue, Boston
The Commons at Forest Hills,2130.0,,283,199.0,Forest Hills St, Boston
The Dorchester,2126.0,Y,47,,,
The Edge,2134.0,,79,219.0,Newbury St, Boston
The Graphic,2129.0,,171,32.0,Cambridge St, Charlestown
The Harmon Apartments (Boston Home Group),2124.0,,36,2045.0,Dorchester Ave, Boston
The Harvey,2129.0,,177,50.0,Hood Park Dr, Boston
The Homes at Roxbury Crossing,2120.0,,22,1050.0,Tremont St, Boston
The Lancaster,2134.0,,55,1501.0,Commonwealth Ave, Brighton
The Macallen,2127.0,,144,141.0,Dorchester Ave, Boston
The Mark at DeNormanie Wharf,2128.0,,107,99.0,Sumner St, Boston
The Melnea (Parcel 9/Residential),2119.0,,50,431.0,Melnea Cass Blvd, Boston
The Metropolitan,2111.0,Y,251,1.0,Nassau St, Boston
The Modern,2118.0,,62,255.0,Northampton St, Roxbury
The Mt Vernon,2134.0,,7,1200.0,Soldiers Field Rd suite 102, Boston
The Nautica,2129.0,,117,88.0,Constitution Rd, Boston
The Pierce,2215.0,,349,200.0,Brookline Ave, Boston
The Radian,2111.0,,240,120.0,Kingston St, Boston
The Residences At Forest Hills,2130.0,,250,95.0,Hyde Park Ave, Boston
The Residences at St. Augustine,2127.0,,29,,,
The Residences at West Broadway,2127.0,,139,50.0,W Broadway, Boston
The Residences on E,2127.0,,34,,The Residences, Boston
The Seville Boston Harbor,2128.0,,66,250.0,Meridian St, Boston
The Stearns,2111.0,Y,140,10.0,Temple Pl, Boston
The Sudbury [Govt Center Garage Rental],2114.0,,368,50.0,Sudbury St, Boston
The Tremont,2120.0,,66,,1480-1482 Tremont St, Boston
Theroch,2121.0,Y,222,133.0,Columbia Rd, Boston
Thetford-Dyer Neighborhood Homes,2124.0,,16,,Thetford Ave, Boston
Torre Unidad (2-49),2118.0,,201,80.0,W Dedham St, Boston
Townhouses at Glenwood,2136.0,,19,400.0,Georgetowne Dr, Hyde Park
Townhouses at Neponset River,2136.0,,16,29.0,Neponset Field Ln, Hyde Park
Treadmark,2124.0,,83,,1971-1977 Dorchester Ave, Boston
Tremont Houses,2118.0,,23,725.0,Tremont St, Boston
Trilogy Residential,2215.0,,534,,,
Trinity Neighborhood House,2128.0,,16,406.0,Meridian St, Boston
Trinity Terrace,2121.0,,62,,Trinity Terrace, Boston
Trolley House Condos,2127.0,,25,335.0,W 2nd St, Boston
Troy Boston,2118.0,,378,55.0,Traveler St, Boston
Trull/Ware Homes,2125.0,,4,,,
Twenty at Luma,2119.0,,20,,,
UE Apartments,2130.0,,82,101.0,S Huntington Ave, Boston
UE Dixwell Park,2119.0,,33,,Dixwell St, Boston
Uhomes,2134.0,,20,90.0,Antwerp St, Boston
Ulin House,2135.0,Y,242,,,
Uphams Corner Market Residential and Elderhouse,2125.0,,45,545.0,Columbia Rd, Dorchester
Uphams Corner/Red Hazel Apts,2125.0,Y,36,530.0,Columbia Rd, Boston
Uphams West,2125.0,,13,,Uphams Ct, Boston
Upton Street Lodging House,2136.0,,19,592.0,Tremont St, Boston
Upton Street Lodging House Units,2118.0,,19,592.0,Tremont St, Boston
Urbanica 691,2118.0,,40,142.0,Berkeley St, Boston
Urbanica Highland Park (E+),2119.0,,4,74.0,Highland St, Boston
Uva Douglas Estates,2121.0,,15,,,
Valenchuck (VUP),2122.0,,2,,,
Van Ness Terrace,2119.0,,50,,Van Ness St, Boston
Vet Step Up,2121.0,,10,155.0,Neponset Ave, Boston
Veterans Studios at Brighton Marine,2135.0,,25,77.0,Warren St, Brighton
VFW Parkway Condos,2132.0,,15,1555.0,VFW Pkwy, West Roxbury
Victoria Apartments,2118.0,Y,190,640.0,Tremont St, Boston
Victory Gardens Plaza,2128.0,Y,87,54.0,Orleans St # 1, East Boston
Victory House,2118.0,,6,566.0,Chester Square, Boston
Viet-AID,2122.0,,6,42.0,Charles St, Boston
Villa Michelangelo,2113.0,,71,1.0,Michelangelo St, Boston
Village At Cleary Square,2136.0,,59,,Stony Brook / Cleary Square, Boston
Vines (VUP) CDFI,2121.0,,2,,,
Viridian,2215.0,,350,1282.0,Boylston St, Boston
VITA,2130.0,,126,3531.0,Washington St Suite 103, Jamaica Plain
Viviendas Associates I,2118.0,Y,181,44.0,John Eliot Sq, Roxbury
Viviendas La Victoria II,2118.0,,190,,,
Wait Street,2115.0,Y,100,,Wait St, Boston
Walker Park Apartments,2130.0,,49,161.0,S Huntington Ave, Jamaica Plain
Wallingford Housing,2135.0,Y,209,28.0,Wallingford Rd, Brighton
Walnut Avenue Apartments (SPO),2130.0,,31,230.0,Walnut St, Newtonville
Walnut Community Housing,2119.0,,37,237.0,Walnut Ave, Boston
Walnut House/Rogerson,2119.0,,37,,,
Walter Baker Lofts,2124.0,,13,1231.0,Adams St, Boston
Walter J. Martin Coop,2127.0,,34,,,
Wardman Apts,2119.0,Y,88,158.0,Walnut Ave, Boston
Wareham Lofts,2118.0,,28,90.0,Wareham St, Boston
Warren Avenue Apts,2116.0,Y,30,440.0,Tremont St UNIT 108, Boston
Warren Gardens Coop,2119.0,Y,228,45.0,Walnut Ave, Roxbury
Warren Green Leasehold Condominiums,2129.0,,17,42.0,8th St, Charlestown
Warren St Nursing Home,2121.0,,9,565.0,Warren St, Boston
Washington Grove,2132.0,,24,,Washington St, Boston
"Washington Heights I, II",2119.0,Y,175,86.0,Crawford St, Dorchester
Washington Manor (2-44C),2118.0,,77,1701.0,Washington St, Boston
Washington Mews,2124.0,,20,,Washington St, DORCHESTR CTR
Washington Street (2-35),2135.0,,82,235.0,Washington St, Boston
Washington-Beech (2-13),2131.0,Y,206,4560.0,Washington St, Roslindale
Waterford Place,2118.0,,40,180.0,Shawmut Ave, Boston
Watermark Seaport Apartments,2210.0,,346,85.0,Seaport Blvd, Boston
Waterside Place,2210.0,,236,505.0,Congress St, Boston
Waterstone at the Circle,2135.0,,92,385.0,Chestnut Hill Ave, Boston
Waterview Apartments,2127.0,Y,49,1350.0,Columbia Rd, Boston
Watson (VUP),2124.0,,2,1.0,Deaconess Rd # W, Boston
Waverly Abby - Bridge Over Troubled Waters,2134.0,,28,47.0,West St, Boston
Waverly Homes II,2125.0,,9,9.0,Bronsdon St, Brighton
Wayland Street Homes,2125.0,,6,17.0,Pleasant St, Boston
Wayne Apartments,2121.0,Y,74,393.0,Centre St, Dorchester
Wayne at Bicknell,2121.0,Y,72,,Wayne St, Boston
Wayne at Blue Hill,2126.0,Y,48,,Wayne St & Blue Hill Avenue, Boston
Wayne at Columbia,2121.0,Y,83,173.0,Columbia Rd #173, Dorchester
Wayne at Franklin,2124.0,Y,72,1.0,Shandon Rd, Dorchester Center
Weld Park Apts,2131.0,Y,14,,,
Wellington Hill Phase I,2126.0,,23,45.0,Wellington Hill St, Mattapan
Wellington Hill Phase II,2126.0,,8,,Hummingbird Ln, Boston
Welsh (VUP),2135.0,,1,101.0,Arch St, Boston
West Broadway/D St (200-1),2127.0,,484,45.0,W Broadway, Boston
West Cottage St Condominiums,2125.0,,4,54.0,Pleasant St, Boston
West Fenway Elderly,2118.0,,5,110.0,Peterborough St, Boston
West Newton Street (2-58),2118.0,,149,258.0,W Newton St, Boston
West Ninth Street (2-36),2127.0,,84,236.0,W 9th St, Boston
West Roxbury Residences,2132.0,,4,1235.0,VFW Pkwy, West Roxbury
West Square,2127.0,,255,320.0,D St, Boston
Westland Avenue Apartments,2115.0,Y,96,66.0,Westland Ave # 205, Boston
Westminster 21 (Urban Edge),2119.0,,5,1542.0,Columbus Ave, Roxbury
Westminster Court,2119.0,,70,,Westminster Ct, Boston
Whittier Street Apartments (2-11),2120.0,,144,1158.0,Tremont St, Boston
Whittier/Lyndhurst/Washington,2124.0,,44,,,
Wilder Gardens,2121.0,Y,61,377.0,Wilder St, Lowell
Wilkes Passage Loft Condominium,2118.0,,155,1313.0,Washington St, Boston
Williams (VUP),2119.0,,2,,,
Willowwood|Hildreth NHI,2124.0,,8,,Willowwood St, Boston
Wilshire Apartments,2121.0,Y,29,,Cheney St, Boston
Winslow Court,2119.0,,24,,Winslow St, Boston
Winston/Harwood (689-?),2124.0,,10,,,
Wood (VUP),2124.0,,1,,,
Woodbourne Elderly Apts,2130.0,Y,76,6.0,Southbourne Rd #4208, Jamaica Plain
Woodbury Cunard Building,2128.0,,17,,,
Woodledge/Granfield,2131.0,,6,,Woodledge St, Boston
Woodward Park - North - Home Again,2125.0,,10,,Woodward Park St, Boston
Woodward Park II - HOME AGAIN,2125.0,,11,,Woodward Park St, Boston
Worcester House,2116.0,,16,,,
Worcester Square,2118.0,,31,,Worcester Square, Boston
Wrentham St School,2120.0,,8,120.0,Taunton St, Wrentham
x & 404 West Second St,2127.0,,17,404.0,W 2nd St, Boston
x & 50 Corbet (REMS Land),2124.0,,2,,,
x & x St George Street Condominium,2118.0,,29,,St George St, Boston
x -1740 Washington St,2118.0,,33,558.0,Washington St, Boston
x A Street,2127.0,,25,39.0,A St, Boston
x A Street Front,2127.0,,48,39.0,A St, Boston
x Adams Street,2122.0,,3,735.0,Adams St, Boston
x Albany Street,2118.0,,40,725.0,Albany St, Boston
x Algonquin St,2124.0,,9,15.0,Algonquin St, Boston
x Alpine Street,2119.0,,3,131.0,Dale St, Boston
x Alvah Kittredge Park,2119.0,,4,,,
x American Legion Highway (AOP),2131.0,,8,950.0,American Legion Hwy, Roslindale
x Amory Ave,2119.0,,39,125.0,Amory St, Boston
x Amory St,2119.0,,12,125.0,Amory St, Boston
x and 120-122 Mt. Pleasant Avenue,2119.0,,9,120.0,Mt Pleasant Ave, Boston
x and 380 Harrison Ave,2118.0,,273,380.0,Harrison Ave, Boston
x Arbutus (YouthBuild),2124.0,,2,27.0,Centre St, Boston
x Arbutus Street,2124.0,,2,637.0,Washington St, Boston
x Arlington St (AOP),2136.0,,4,156.0,Arlington St, Hyde Park
x Ashland St,2122.0,,6,43.0,Freeport St, Boston
x Astoria Street (Beharry VUP),2126.0,,2,,Astoria St, Boston
x Athens St,2127.0,,15,,2-50 Athens St, Boston
x B Street,2127.0,,3,178.0,W Fourth St, Boston
x Banton St,2124.0,,18,637.0,Washington St, Boston
x Batchelder St,2125.0,,2,35.0,Batchelder St, Boston
x Beach St. Loft Condominium,2111.0,,44,210.0,South St, Boston
x Belgrade Ave,2131.0,,21,331.0,Belgrade Ave, Boston
x Bellevue Street,2125.0,,3,43.0,Freeport St, Boston
x Bennington St,2128.0,,42,,354-356 Bennington St, East Boston
x Bennington St (AOP),2128.0,,2,296.0,Bennington St #2, Boston
x Bennington St. EBO 02128-COB,2128.0,,3,917.0,Bennington St, Boston
x Birch Rd (RDP),2122.0,,2,,,
x Blackinton St (AOP),2128.0,,2,,Blackinton St, Boston
x Blue Hill Ave,2119.0,,3,1480.0,Blue Hill Avenue, Boston
x Blue Hill Ave (REMS buildings),2121.0,,2,1480.0,Blue Hill Avenue, Boston
x Boardman,2128.0,,19,162.0,Boardman St, East Boston
x Boardman St,2128.0,,6,430.0,William F McClellan Hwy, Boston
x Bowdoin Ave (AOP),2121.0,,31,230.0,Bowdoin St, Dorchester
x Bowdoin St,2124.0,,3,230.0,Bowdoin St, Dorchester
x Bowdoin St (RDP),2121.0,,1,200.0,Bowdoin St, Dorchester
x Boylston,2215.0,,199,1330.0,Boylston St, Boston
x Boylston Rehab Phase,2116.0,,46,,Boylston St, Boston
x Boylston St,2116.0,,18,500.0,Boylston St, Boston
x Braintree Street,2134.0,,80,75.0,Braintree St, Allston
x Breed St (AOP),2128.0,,2,,Breed St, Boston
x Bremen St,2128.0,,32,70.0,S Bremen St, Boston
x Bremen St (AOP),2128.0,,3,70.0,S Bremen St, Boston
x Broad Street,2110.0,,96,89.0,Broad St, Boston
x Brooks St (AOP),2128.0,,3,107.0,Brooks St, Boston
x Burbank Street,2115.0,,36,18.0,Haviland St, Boston
x Burt St/VOA Sober House,2124.0,,16,,Burt St, Boston
x Bushnell St,2124.0,,1,43.0,Freeport St, Boston
x Cambridge,2134.0,,44,355.0,Main St, Cambridge
x Cambridge St,2134.0,,32,334.0,Cambridge St, Boston
x Cambridge Street,2134.0,,40,334.0,Cambridge St, Boston
x Cameron Street,2125.0,,3,43.0,Freeport St, Boston
x Carlford Rd,2130.0,,2,288.0,Hyde Park Ave, Jamaica Plain
x Catawba St - Youthbuild,2119.0,,3,27.0,Centre St, Boston
x Centre Street,2119.0,,103,225.0,Centre St, Roxbury
x Cetnre Street,2130.0,,204,670.0,Centre St, Boston
x Chamblet Street,2125.0,,2,12.0,Chamblet St, Boston
x Chaucer St (AOP),2128.0,,3,,Chaucer St, Boston
x Chauncy Street Condominium,2111.0,,33,115.0,Chauncy St #1740, Boston
x Chelsea St (1-4 Program),2128.0,,4,1.0,Chelsea St, Charlestown
x Chelsea St (AOP),2128.0,,3,319.0,Chelsea St, Boston
x Chelsea Street E. Boston - COB,2128.0,,3,183.0,Chelsea St, Boston
x Chestnut Ave (1-4 Program),2130.0,,2,1.0,Chestnut Ave, Jamaica Plain
x Chestnut Hill Ave,2135.0,,21,332.0,Chestnut Hill Ave, Brighton
x Chipman St (RDP),2124.0,,1,,Chipman St, Boston
x Clarkson St,2125.0,,3,43.0,Freeport St, Boston
x Clifton St,2125.0,,2,62.0,Clifton St, Dorchester
x Clifton St (RDP),2119.0,,2,,,
x Coffey St,2122.0,,46,43.0,Freeport St, Boston
x Coleman St (1-4 Program),2125.0,,2,1.0,Coleman St, Boston
x Coleman St (REO),2125.0,,3,,Coleman St, Boston
x Coleman Street,2125.0,,1,43.0,Freeport St, Boston
x Colonial Avenue E+,2124.0,,4,,Colonial Ave, Boston
x Columbus Ave,2119.0,,5,,,
x Columbus Ave Conversion,2116.0,,62,285.0,Columbus Ave, Boston
x Columbus Avenue,2119.0,,165,,,
x Commercial St,2109.0,,20,386.0,Commercial Street, Boston
x Commonwealth Ave,2135.0,,80,2000.0,Commonwealth Ave, Brighton
x Commonwealth Ave (Phase 2 - Dorm/Micro Conversion),2134.0,,179,575.0,Commonwealth Ave, Boston
x Commonwealth Avenue,2134.0,,61,,1144-1160 Commonwealth Ave, Boston
x Congress Street,2127.0,,44,330.0,Congress St, Boston
x Corman Road Mattapan - COB,2126.0,,2,,Corman Rd, Boston
x Cranston St,2130.0,,1,201.0,S Huntington Ave, Boston
x Crawford Street SRO,2121.0,,17,86.0,Crawford St, Dorchester
x Cummins Highway,2126.0,,32,627.0,Cummins Hwy, Mattapan
x D St,2127.0,,8,,,
x D Street,2127.0,,197,320.0,D St, Boston
x Dacia Street,2125.0,,3,16.0,Dacia St, Dorchester
x Dale Street Condominium,2119.0,,4,72.0,Dale St, Boston
x Devon Street,2121.0,,3,647.0,Warren St #25, Dorchester
x Dorchester Av,2124.0,,64,2235.0,Dorchester Ave, Boston
x Dorchester Ave,2125.0,,13,43.0,Freeport St, Boston
x Dorchester Ave. (SPO),2122.0,,43,1420.0,Dorchester Ave, Dorchester
x Dorchester Avenue,2127.0,,33,141.0,Dorchester Ave, Boston
x Dorchester St,2127.0,,35,39.0,Dorchester St, South Boston
x Dorchester St.,2127.0,,7,39.0,Dorchester St, South Boston
x Draper St (BuildHOME),2122.0,,2,,Draper St, Boston
x Dudley St (REO),2125.0,,4,778.0,Dudley St, Dorchester
x Dudley Street,2119.0,,68,550.0,Dudley St, Roxbury
x Dunlap Street,2124.0,,3,43.0,Freeport St, Boston
x Dunreath St (RDP),2119.0,,3,,Dunreath St, Boston
x E Eagle Street (AOP),2128.0,,3,55.0,E Eagle St, East Boston
x E Fifth Street,2127.0,,19,330.0,Congress St, Boston
x E Second St,2127.0,,16,850.0,Summer St Suite 207, Boston
x E Third St,2127.0,,18,330.0,Congress St, Boston
x East Broadway,2127.0,,18,726.0,E Broadway, Boston
x East Brookline,2118.0,,6,99.0,Brookline Ave, Boston
x East First,2127.0,,28,330.0,Congress St, Boston
x East Second,2127.0,,20,850.0,Summer St Suite 207, Boston
x East Second Street,2127.0,,13,516.0,E 2nd St, Boston
x East Springfield St,2118.0,Y,5,,,
x East Third St,2127.0,,18,850.0,Summer St Suite 207, Boston
x Elizabeth St,2126.0,,6,1480.0,Blue Hill Avenue, Boston
x Ellington St,2121.0,,6,647.0,Warren St #25, Dorchester
x Elwyn Road (REO),2124.0,,3,,Elwyn Rd, Boston
x Esmond Street,2121.0,,2,647.0,Warren St #25, Dorchester
x Eustis Street,2119.0,,1,33.0,Shirley St, Boston
x Eutaw St (AOP),2128.0,,3,,Eutaw St, Boston
x Evans Street: Perry,2124.0,,1,37.0,Evans St, Dorchester
x Everett St,2128.0,,19,174.0,Paris St, East Boston
x Fairland St (Lee VUP),2119.0,,3,,,
x Fairmount Ave,2136.0,,10,150.0,Fairmount Ave, Hyde Park
x Falcon St (AOP),2128.0,,2,,Falcon St, Boston
x Fisher Ave,2120.0,,15,120.0,Fisher Ave, Boston
x Fort Avenue,2119.0,,13,,22-98 Fort Ave, Boston
x Fottler (REMS Land),2126.0,,2,,Fottler Rd, Boston
x Gaston (RDP),2121.0,,1,,,
x Gladstone St (AOP),2128.0,,3,,Gladstone St, Boston
x Glendon St (AOP),2128.0,,3,,Glendon St, Boston
x Glenway St,2121.0,,3,90.0,Glenway St, Boston
x Glenway Street,2121.0,,2,90.0,Glenway St, Boston
x Glenway Street (1-4),2121.0,,3,90.0,Glenway St, Boston
x Gordon Avenue,2136.0,,2,11.0,Gordon Ave, Hyde Park
x Green Street,2130.0,,21,150.0,Green St, Boston
x Greenbrier St (BuildHome),2124.0,,2,,Greenbrier St, Boston
x Greenwich Park*,2118.0,,5,,Greenwich Park, Boston
x H Street,2127.0,,11,120.0,H St, Boston
x Hancock,2125.0,,36,40.0,Hancock St, Dorchester
x Hanover St,2113.0,,16,332.0,Hanover St, Boston
x Harold Street,2119.0,,3,208.0,Harold St, Boston
x Harrison Ave,2118.0,,585,345.0,Harrison Ave, Boston
x Harrison Ave Condos,2118.0,,39,700.0,Harrison Ave, Boston
x Harrison Avenue,2118.0,,4,345.0,Harrison Ave, Boston
x Harvard Street,2124.0,,3,301.0,Harvard St, Boston
x Hawthorne Pl,2114.0,,480,2.0,Hawthorne Pl, Boston
x Hawthorne Street,2119.0,,2,72.0,Dale St, Boston
x Hemenway,2115.0,,15,768.0,Huntington Ave, Boston
x Hemenway Coop,2115.0,,24,,Hemenway St, Boston
x Hendry St (REO),2122.0,,3,,Hendry St, Boston
x Hichborn St,2135.0,,23,26.0,Hichborn St, Brighton
x Highland St E+,2119.0,,4,,Highland St, Boston
x Highland Street,2119.0,,5,1.0,Highland St, Roxbury
x Holborn Terrace,2121.0,,8,647.0,Warren St #25, Dorchester
x Hollander Street,2121.0,,2,55.0,Hollander St, Roxbury
x Homes Ave Development,2122.0,,1,,Homes Ave, Boston
x Hosmer St (Lee VUP),2126.0,,2,,,
x House (SPO),2122.0,,12,,,
x Howard Ave,2125.0,,3,185.0,Howard Ave, Dorchester
x Huckins St,2119.0,,4,72.0,Dale St, Boston
x Hudson St (AOP),2111.0,,4,66.0,Hudson St, Boston
x Humboldt Avenue,2121.0,,3,198.0,Humboldt Ave, Dorchester
x Humboldt Avenue-202,2121.0,,12,202.0,Humboldt Ave, Boston
x Humphreys Place (AOP),2125.0,,6,,Humphreys Pl, Boston
x Huntington Avenue,2120.0,,37,201.0,S Huntington Ave, Boston
x Hutchings Street,2121.0,,1,17.0,Blakeville St, Dorchester
x Hyde Park Ave,2131.0,,8,1074.0,Hyde Park Ave, Hyde Park
x Hyde Park Avenue,2136.0,,2,1074.0,Hyde Park Ave, Hyde Park
x Intervale St (RDP),2121.0,,1,,Intervale St, Boston
x Itasca Street,2126.0,,1,,,
x Juniper Street,2119.0,,4,72.0,Dale St, Boston
x Kingsdale St,2124.0,,3,71.0,Kingsdale St, Dorchester Center
x L Street,2127.0,,30,77.0,L St, Boston
x Landor Road,2126.0,,3,676.0,Morton St, Mattapan
x Lawnwood Place Project,2129.0,,9,250.0,1st Ave, Charlestown
x Lawrence Avenue,2121.0,,3,647.0,Warren St #25, Dorchester
x Leighton Rd Foreclosed Home Sale,2136.0,,1,,Leighton Rd, Boston
x Leroy St (AOP),2122.0,,3,,Leroy St, Boston
x Levant St,2122.0,,3,1454.0,Dorchester Ave, Dorchester
x Lexington Ave (AOP),2136.0,,3,727.0,Marrett Rd A, Lexington
x Lexington St (1-4 Program),2128.0,,2,1.0,Lexington St, Boston
x Lexington/92-94 Putnam (1-4),2128.0,,4,,,
x Leyden St (AOP),2128.0,,3,,Leyden St, Boston
x Lorne Street,2124.0,,3,1.0,Lorne St, Boston
x Magnolia St,2121.0,,2,206.0,Magnolia St, Boston
x Magnolia St (RDP),2125.0,,2,,,
x Mallon Road,2121.0,,2,647.0,Warren St #25, Dorchester
x Malvern St,2134.0,,48,40.0,Malvern St, Boston
x Manor St (RDP),2122.0,,1,,Manor St, Boston
x Marion Place,2128.0,,1,174.0,Paris St, East Boston
x Marion St,2128.0,,2,127.0,Marion St, Boston
x Market St,2135.0,,29,195.0,Market St, Brighton
x Market Street,2135.0,,39,,356-358 Market St, Boston
x Mass. Ave. (BCLT),2118.0,,18,666.0,Massachusetts Ave, Boston
x Massachusetts Ave,2125.0,,40,1258.0,Massachusetts Ave, Dorchester
x Massachusetts Avenue,2118.0,,10,811.0,Massachusetts Ave, Boston
x Maverick St,2128.0,,37,,Maverick St, Boston
x Maverick St (AOP),2128.0,,3,154.0,Maverick St, Boston
x Maywood Street,2119.0,,3,131.0,Dale St, Boston
x McBride St,2130.0,,11,141.0,McBride St, Jamaica Plain
x Medford St,2129.0,,3,305.0,Medford St, Boston
x Metropolitan Ave,2136.0,,6,680.0,Metropolitan Ave, Hyde Park
x Milton Street,2124.0,,1,637.0,Washington St, Boston
x Minden St,2130.0,,2,91.0,Minden St, Jamaica Plain
x Minden Street,2130.0,,2,91.0,Minden St, Jamaica Plain
x Miner Street,2215.0,,49,9.0,Miner St, Boston
x Monsignor Way,2124.0,,6,,Msgr Patrick J Lydon Way, Boston
x Morris Street (AOP),2128.0,,3,,Morris St, Boston
x Morse Street,2121.0,,6,647.0,Warren St #25, Dorchester
x Mount Everett NHI,2125.0,,2,,Mt Everett St, Boston
x Mountfort St,2215.0,,37,120.0,Mountfort St, Boston
x Mt. Pleasant Ave SRO,2119.0,,20,28.0,Mt Pleasant Ave, Boston
x Mt. Pleasant Avenue,2119.0,,8,28.0,Mt Pleasant Ave, Boston
x Murray Ave,2119.0,,2,,,
x Murray Ave (1-4),2119.0,,2,4.0,Murray Ave #1, Boston
x N Beacon,2134.0,,30,15.0,N Beacon St, Allston
x N Beacon St (Condo Phase),2135.0,,9,15.0,N Beacon St, Boston
x N Beacon St (Rental Phase),2134.0,,72,15.0,N Beacon St, Allston
x N Beacon St Mixed Use Development,2134.0,,20,,N Beacon St, Boston
x Nelson Street,2124.0,,2,43.0,Freeport St, Boston
x Neponset Ave,2122.0,,22,320.0,Neponset Ave, Dorchester
x Newbury - Virgin Records,2115.0,,54,,Newbury St, Boston
x Nightingale Street,2124.0,,3,101.0,Nightingale St, Boston
x Norfolk Street (RDP),2124.0,,2,,Norfolk St, DORCHESTR CTR
x North Ave/YouthBuild,2119.0,,1,27.0,Centre St, Boston
x Northampton Apts,2118.0,,9,35.0,Northampton St, Boston
x Norwell St - YouthBuild,2121.0,,1,,,
x Norwell Street (REO/Private Acquisition),2121.0,,1,,Norwell St, Boston
x Oak Street (AOP),2111.0,,3,,Oak St, Boston
x Old Colony,2127.0,,24,232.0,Old Colony Ave, Boston
x Old Colony Ave,2127.0,,49,232.0,Old Colony Ave, Boston
x Orleans Street,2128.0,,14,151.0,Orleans St, Boston
x Otisfield St (BuildHome),2121.0,,1,,Otisfield St, Boston
x Page St (James VUP),2121.0,,2,,Page St, Boston
x Park Drive,2215.0,,21,,231-235 Park Dr, Boston
x Park St,2122.0,,2,150.0,M.L.K. Jr Blvd, Boston
x Park St Lodging House,2122.0,,16,1564.0,Dorchester Ave, Dorchester
x Park St/YouthBuild,2124.0,,1,27.0,Centre St, Boston
x Parker Hill Ave,2120.0,,40,11.0,Parker Hill Ave, Boston
x Peacevale Rd,2124.0,,2,9.0,Peacevale Rd, Boston
x Peterborough,2215.0,,20,109.0,Peterborough St, Boston
x Peterborough Street,2215.0,,11,109.0,Peterborough St, Boston
x Pier 4,2110.0,,369,100.0,Pier 4 Blvd. #2218, Boston
x Pleasant St,2125.0,,17,54.0,Pleasant St, Boston
x Prescott Street,2128.0,,2,240.0,Prescott St, Boston
x Prince St Catholic Church Property,2113.0,,57,320.0,Hanover St, Boston
x Princeton St (AOP),2128.0,,3,,Princeton St, Boston
x Princeton Street (1-4),2128.0,,3,223.0,1/2 Princeton St, Boston
x Puritan Ave,2121.0,,1,43.0,Freeport St, Boston
x Putnam St (AOP),2128.0,,3,,Putnam St, Boston
x Quincy St (REO),2125.0,,3,,Quincy St, Boston
x Quincy Street,2122.0,,3,43.0,Freeport St, Boston
x Quincy Street (1-4),2121.0,,3,1.0,Quincy St, Boston
x Ridgewood St. (REO),2122.0,,3,,Ridgewood St, Boston
x Rill St (BuildHome),2125.0,,2,,Rill St, Boston
x River St,2136.0,,32,989.0,River St, Hyde Park
x River St (AOP),2126.0,,27,,,
x River Street,2126.0,,3,79.0,River St, Mattapan
x Robert Street,2131.0,,14,31.0,Robert St, Roslindale
x Rockland Avenue,2119.0,,1,,,
x Rockwell Street,2124.0,,1,28.0,Rockwell St, Boston
x Roxbury St,2119.0,,11,72.0,Dale St, Boston
x Ruggles Assisted Living,2119.0,,43,25.0,Ruggles St, Boston
x Ruskindale Road,2136.0,,1,154.0,Ruskindale Rd, Hyde Park
x Rutherford Ave,2129.0,,22,570.0,Rutherford Ave, Boston
x Saratoga St,2128.0,,3,1150.0,Saratoga St, Boston
x Saratoga St (AOP),2128.0,,3,1150.0,Saratoga St, Boston
x Savin Hill Ave,2125.0,,14,125.0,Savin Hill Ave, Dorchester
x Savin Street,2119.0,,2,,,
x Schuyler St (BuildHome),2121.0,,2,,Schuyler St, Boston
x Seaver Street,2121.0,,2,122.0,Seaver St, Boston
x Selden St,2124.0,,1,98.0,Selden St, Dorchester
x Selden St (BuildHome),2124.0,,2,,Selden St, DORCHESTR CTR
x Shetland St,2119.0,,57,13.0,Shetland St, Boston
x South Huntington,2116.0,,38,116.0,Huntington Ave, Boston
x Southern Ave (Johnson VUP),2124.0,,1,,Southern Ave, Boston
x Spencer St (RDP),2124.0,,3,,Spencer St, Boston
x Spencer Street,2124.0,,3,,,
x Spring Street,2132.0,,11,116.0,Spring St, Boston
x St Alphonsus St,2120.0,,115,95.0,St Alphonsus St, Boston
x St Andrew Rd (AOP),2128.0,,3,,St Andrew Rd, Boston
