,Project Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8,geo_input,address_candidates
746,Seaport Square Parcels B & C,South Boston Waterfront,2210,832,832,0,736.0,736.0,0.0,96,96,0.0,Rental,Private,,,Seaport Square Parcels B & C South Boston Waterfront,"['77 Sleeper St One Seaport Square, Boston, MA 02210, United States']"
747,SECD Housing,Roxbury,2118,10,10,0,0.0,0.0,0.0,10,10,0.0,Rental,Private,,Y,SECD Housing Roxbury,"['2875 Washington St, Roxbury, MA 02119, United States']"
748,SECHC Cumston St,South End,2118,58,0,58,51.0,0.0,51.0,7,0,7.0,Ownership,Private,,,SECHC Cumston St South End,"['1601 Washington St, Boston, MA 02118, United States']"
749,SETH APARTMENTS I,South End,2118,185,185,0,0.0,0.0,0.0,185,185,0.0,Rental,Private,,Y,SETH APARTMENTS I South End,"['792 Tremont St #1051, Boston, MA 02118, United States']"
750,Seton Manor,Brighton,2135,19,19,0,0.0,0.0,0.0,19,19,0.0,Rental,Private,,,Seton Manor Brighton,"['1000 Seton Dr, Orwigsburg, PA 17961, United States']"
751,Shalom Properties,East Boston,2128,30,30,0,0.0,0.0,0.0,30,30,0.0,Rental,Private,,,Shalom Properties East Boston,"['201 Sumner St, Boston, MA 02128, United States']"
752,Shawmut Ave Lodging House,South End,2118,15,15,0,0.0,0.0,0.0,15,15,0.0,Rental,Private,,,Shawmut Ave Lodging House South End,"['592 Tremont St, Boston, MA 02118, United States']"
753,Shawmut Estates (p/o Orchard Park offsite Phase 3 HO),Roxbury,2119,15,0,15,0.0,0.0,0.0,15,0,15.0,Ownership,Private,,,Shawmut Estates (p/o Orchard Park offsite Phase 3 HO) Roxbury,[]
754,Shore Plaza East,East Boston,2128,380,380,0,0.0,0.0,0.0,380,380,0.0,Rental,Private,,Y,Shore Plaza East East Boston,"['600 Border St, East Boston, MA 02128, United States']"
755,Signal Building,South Boston,2127,75,0,75,66.0,0.0,66.0,9,0,9.0,Ownership,Private,,,Signal Building South Boston,"['154 W 2nd St, Boston, MA 02127, United States']"
756,Singleton (VUP),East Boston,2128,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,Singleton (VUP) East Boston,"['Copley Square, Boston, MA 02116, United States']"
757,Siochain II,East Boston,2128,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,,Siochain II East Boston,"['235 Border St, East Boston, MA 02128, United States']"
758,Siochain Rental Rehab Project I,East Boston,2128,12,12,0,1.0,1.0,0.0,11,11,0.0,Rental,Private,,,Siochain Rental Rehab Project I East Boston,"['52 White St, Boston, MA 02128, United States']"
759,Sister Clara Co-op,Dorchester,2125,25,25,0,0.0,0.0,0.0,25,25,0.0,Rental,Private,,,Sister Clara Co-op Dorchester,"['150 Magnolia St # A, Dorchester, MA 02125, United States']"
760,Six55 Condominium,South Boston,2127,18,0,18,16.0,0.0,16.0,2,0,2.0,Ownership,Private,,,Six55 Condominium South Boston,[]
761,Smith House,Roxbury,2119,132,132,0,0.0,0.0,0.0,132,132,0.0,Rental,Private,Y,,Smith House Roxbury,"['757 Shawmut Ave, Roxbury, MA 02119, United States']"
762,"Smith, Steven (VUP)",Dorchester,2121,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,,"Smith, Steven (VUP) Dorchester","['1100 Washington St Ste: 200-201, Dorchester Center, MA 02124, United States']"
763,Soares (VUP),Roxbury,2125,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,,Soares (VUP) Roxbury,[]
764,"Sonoma, Maple, Schuyler",Roxbury,2121,115,115,0,15.0,15.0,0.0,100,100,0.0,Rental,Private,,Y,"Sonoma, Maple, Schuyler Roxbury","['1 Maple Ct B, Boston, MA 02121, United States']"
765,Sophia Snow House,West Roxbury,2132,102,102,0,0.0,0.0,0.0,102,102,0.0,Rental,Private,?,,Sophia Snow House West Roxbury,"['1205-1215 Centre St, West Roxbury, MA 02132, United States']"
766,South Bay Mixed-Use Town Center (Building D),Dorchester,2125,260,260,0,226.0,226.0,0.0,34,34,0.0,Rental,Private,,,South Bay Mixed-Use Town Center (Building D) Dorchester,"['8 Allstate Rd, Boston, MA 02118, United States']"
767,South Boston Coop Svc Hsg,South Boston,2127,65,65,0,0.0,0.0,0.0,65,65,0.0,Rental,Private,Y,,South Boston Coop Svc Hsg South Boston,"['225 W 2nd St, South Boston, MA 02127, United States']"
768,South Boston Elderly Housing,South Boston,2127,50,50,0,0.0,0.0,0.0,50,50,0.0,Rental,Private,Y,,South Boston Elderly Housing South Boston,"['120 H St, Boston, MA 02127, United States']"
769,South Boston Housing Initiative - Cityside,South Boston,2127,5,0,5,0.0,0.0,0.0,5,0,5.0,Ownership,Private,,,South Boston Housing Initiative - Cityside South Boston,"['D St, Boston, MA 02127, United States']"
770,South Boston Portfolio,South Boston,2127,27,27,0,0.0,0.0,0.0,27,27,0.0,Rental,Private,,,South Boston Portfolio South Boston,"['88 Black Falcon Ave Suite 320, Boston, MA 02210, United States']"
771,South Cove Apts,Downtown,2109,231,231,0,2.0,2.0,0.0,229,229,0.0,Rental,Private,Y,Y,South Cove Apts Downtown,"['285 Tremont St, Boston, MA 02116, United States', '230 Stuart St, Boston, MA 02116, United States']"
772,South End Apartments,Roxbury,2120,27,27,0,0.0,0.0,0.0,27,27,0.0,Rental,Private,,Y,South End Apartments Roxbury,"['781 Tremont St, Boston, MA 02118, United States']"
773,SOUTH END APARTMENTS RENOVATION PROJECT,Roxbury,2118,5,5,0,0.0,0.0,0.0,5,5,0.0,Rental,Private,,,SOUTH END APARTMENTS RENOVATION PROJECT Roxbury,"['781 Tremont St, Boston, MA 02118, United States']"
774,South End CHC,South End,2118,60,2,58,54.0,0.0,54.0,6,2,4.0,Ownership/Rental,Private,,,South End CHC South End,"['1601 Washington St, Boston, MA 02118, United States']"
775,South End Coop. Housing,South End,2118,75,75,0,2.0,2.0,0.0,73,73,0.0,Rental,Private,,,South End Coop. Housing South End,"['163 W Springfield St # A, Boston, MA 02118, United States']"
776,South End Tenants I,South End,2118,100,100,0,0.0,0.0,0.0,100,100,0.0,Rental,Private,Y,Y,South End Tenants I South End,"['434 Massachusetts Ave, Boston, MA 02118, United States']"
777,South End Tenants II,South End,2116,185,185,0,0.0,0.0,0.0,185,185,0.0,Rental,Private,,Y,South End Tenants II South End,"['29 Rutland Square, Boston, MA 02118, United States']"
778,South Street (200-12),Jamaica Plain,2130,132,132,0,0.0,0.0,0.0,132,132,0.0,Rental,Public,,,South Street (200-12) Jamaica Plain,"['200 South St, Boston, MA 02130, USA']"
779,Southwest Crossing Condominium,Roslindale,2131,12,0,12,8.0,0.0,8.0,4,0,4.0,Ownership/Rental,Private,,,Southwest Crossing Condominium Roslindale,"['390 Blue Ledge Dr, Roslindale, MA 02131, United States']"
780,Spencer House,Jamaica Plain,2119,46,46,0,0.0,0.0,0.0,46,46,0.0,Rental,Private,Y,,Spencer House Jamaica Plain,"['Spencer House, Boston, MA 02119, USA']"
781,Spring/Temple St (2-70),West Roxbury,2132,104,104,0,0.0,0.0,0.0,104,104,0.0,Rental,Public,Y,,Spring/Temple St (2-70) West Roxbury,[]
782,St Botolph Apts (2-53),Back Bay,2116,132,132,0,0.0,0.0,0.0,132,132,0.0,Rental,Public,Y,,St Botolph Apts (2-53) Back Bay,"['81 St Botolph St, Boston, MA 02116, United States']"
783,St Botolph St. Assisted Living Community,Back Bay,2118,82,82,0,28.0,28.0,0.0,54,54,0.0,Rental,Private,Y,,St Botolph St. Assisted Living Community Back Bay,"['352 Massachusetts Ave, Boston, MA 02115, United States']"
784,St Botolph Street Apts,Back Bay,2115,135,135,0,43.0,43.0,0.0,92,92,0.0,Rental,Private,,Y,St Botolph Street Apts Back Bay,"['81 St Botolph St, Boston, MA 02116, United States']"
785,St Botolph Terrace,Fenway,2115,52,52,0,0.0,0.0,0.0,52,52,0.0,Rental,Private,,Y,St Botolph Terrace Fenway,"['353 Massachusetts Ave, Boston, MA 02115, United States']"
786,St Cecilia's House,Fenway,2115,123,123,0,0.0,0.0,0.0,123,123,0.0,Rental,Private,Y,,St Cecilia's House Fenway,"['108 Kilmarnock St, Boston, MA 02215, United States']"
787,St Gabriel's,Brighton,2135,670,559,111,572.0,476.0,96.0,98,83,15.0,Rental,Private,,,St Gabriel's Brighton,"['159 Washington St #201, Boston, MA 02135, United States', '159 Washington St, Brighton, MA 02135, United States']"
788,St Helena House,South End,2118,74,74,0,1.0,1.0,0.0,73,73,0.0,Rental,Private,Y,Y,St Helena House South End,"['89 Un Park St, Boston, MA 02118, United States']"
789,St James Estate Condominium,Roxbury,2119,22,0,22,14.0,0.0,14.0,8,0,8.0,Ownership,Private,,,St James Estate Condominium Roxbury,"['1 St James Pl, Boston, MA 02119, United States']"
790,St John of God - Market & Clergy,Brighton,2135,92,8,84,84.0,0.0,84.0,8,8,0.0,Ownership/Rental,Private,,,St John of God - Market & Clergy Brighton,"['84 Carleton Ave, Central Islip, NY 11722, United States']"
791,St Josephs Housing,Roxbury,2119,137,137,0,32.0,32.0,0.0,105,105,,Rental,Private,,Y,St Josephs Housing Roxbury,"['86 Crispus Attucks Pl, Roxbury, MA 02119, United States', '2 Rosary Dr, Watertown, MA 02472, United States']"
792,St Kevin's,Dorchester,2125,80,80,0,0.0,0.0,0.0,80,80,0.0,Rental,Private,,,St Kevin's Dorchester,"['516 Columbia Rd, Boston, MA 02125, United States']"
793,St Peter and Paul Church and Rectory,South Boston,2127,44,0,44,37.0,0.0,37.0,7,0,7.0,Ownership,Private,,,St Peter and Paul Church and Rectory South Boston,"['75 Flaherty Way, South Boston, MA 02127, United States']"
794,Stadia 50,Brighton,2135,46,0,46,40.0,0.0,40.0,6,0,6.0,Ownership,Private,,,Stadia 50 Brighton,"['50 Hichborn St, Boston, MA 02134, United States']"
795,Stafford Heights/New Boston Coop,Roxbury,2119,41,41,0,0.0,0.0,0.0,41,41,0.0,Cooperative,Private,,,Stafford Heights/New Boston Coop Roxbury,"['13 Stafford St, Boston, MA 02119, United States']"
796,Stanwood Homes - Home Again,Dorchester,2121,19,7,12,0.0,0.0,0.0,19,7,12.0,Ownership/Rental,Private,,,Stanwood Homes - Home Again Dorchester,"['321 Centre St, Dorchester, MA 02122, United States']"
797,Stille (VUP),South Boston,2127,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,Stille (VUP) South Boston,"['62 C St, Boston, MA 02127, United States']"
798,Stonewall at Audubon Circle Phase I,Fenway,2215,53,0,53,48.0,0.0,48.0,5,0,5.0,Ownership,Private,,,Stonewall at Audubon Circle Phase I Fenway,"['Audubon Circle, Boston, MA 02215, United States']"
799,Stony Brook Gardens/ Chestnut-Lamartine,Jamaica Plain,2130,50,50,0,0.0,0.0,0.0,50,50,0.0,Cooperative,Private,,,Stony Brook Gardens/ Chestnut-Lamartine Jamaica Plain,"['97 Lamartine St, Boston, MA 02130, United States']"
800,Stony Brook Village (formerly Canterbury Hts),Roslindale,2136,98,98,0,0.0,0.0,0.0,98,98,0.0,Rental,Private,,,Stony Brook Village (formerly Canterbury Hts) Roslindale,"['150 Clare Ave # 6A, Hyde Park, MA 02136, United States', '390 Blue Ledge Dr, Roslindale, MA 02131, United States']"
801,Strada 234,West End,2114,108,108,0,88.0,88.0,0.0,20,20,0.0,Rental,Private,,,Strada 234 West End,"['234 Causeway St, Boston, MA 02114, United States']"
802,Strathcona Arms (p/o Ten Most Wanted),Dorchester,2121,14,14,0,0.0,0.0,0.0,14,14,0.0,Rental,Private,,,Strathcona Arms (p/o Ten Most Wanted) Dorchester,[]
803,Sullivan (VUP),Dorchester,2121,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,,Sullivan (VUP) Dorchester,"['35 Westville St, Boston, MA 02124, United States']"
804,Sumner Court,Dorchester,2125,10,0,10,0.0,0.0,0.0,10,0,10.0,Ownership,Private,,,Sumner Court Dorchester,"['Sumner St, Boston, MA 02125, USA']"
805,Sumner Hill House,Jamaica Plain,2130,75,0,75,45.0,0.0,45.0,30,0,30.0,Rental,Private,,,Sumner Hill House Jamaica Plain,"['76 Elm St, Jamaica Plain, MA 02130, United States']"
806,Suppressed1,South End,2118,17,17,0,0.0,0.0,0.0,17,17,0.0,Rental,Private,,,Suppressed1 South End,[]
807,Suppressed10,Dorchester,2124,11,11,0,0.0,0.0,0.0,11,11,0.0,Rental,Private,,,Suppressed10 Dorchester,[]
808,Suppressed11,Fenway,2115,75,75,0,0.0,0.0,0.0,75,75,0.0,Rental,Private,Y,,Suppressed11 Fenway,[]
809,Suppressed12,Roxbury,2119,20,20,0,0.0,0.0,0.0,20,20,0.0,Rental,Private,,,Suppressed12 Roxbury,[]
810,Suppressed13,Fenway,2215,16,16,0,0.0,0.0,0.0,16,16,0.0,Rental,Private,,,Suppressed13 Fenway,[]
811,Suppressed14,Jamaica Plain,2119,12,12,0,0.0,0.0,0.0,12,12,0.0,Rental,Private,,,Suppressed14 Jamaica Plain,[]
812,Suppressed15,Brighton,2135,18,18,0,0.0,0.0,0.0,18,18,0.0,Rental,Private,,,Suppressed15 Brighton,[]
813,Suppressed16,South End,2118,15,15,0,0.0,0.0,0.0,15,15,0.0,Rental,Private,,,Suppressed16 South End,[]
814,Suppressed17,East Boston,2128,18,18,0,0.0,0.0,0.0,18,18,0.0,Rental,Private,,,Suppressed17 East Boston,[]
815,Suppressed18,Dorchester,2122,4,4,0,0.0,0.0,0.0,4,4,0.0,Rental,Private,,,Suppressed18 Dorchester,[]
816,Suppressed19,Dorchester,2122,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,,Suppressed19 Dorchester,[]
817,Suppressed2,Roxbury,2120,75,75,0,0.0,0.0,0.0,75,75,0.0,Rental,Private,,,Suppressed2 Roxbury,[]
818,Suppressed20,Dorchester,2125,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,,Suppressed20 Dorchester,[]
819,Suppressed21,South End,2118,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,Suppressed21 South End,[]
820,Suppressed22,Roxbury,2119,23,23,0,0.0,0.0,0.0,23,23,0.0,Rental,Private,,,Suppressed22 Roxbury,[]
821,Suppressed23,Dorchester,2124,4,4,0,0.0,0.0,0.0,4,4,0.0,Rental,Private,,,Suppressed23 Dorchester,[]
822,Suppressed24,Dorchester,2124,5,5,0,0.0,0.0,0.0,5,5,0.0,Rental,Private,,,Suppressed24 Dorchester,[]
823,Suppressed25,Dorchester,2124,11,11,0,1.0,1.0,0.0,10,10,0.0,Rental,Private,,,Suppressed25 Dorchester,[]
824,Suppressed26,Downtown,2116,56,56,0,0.0,0.0,0.0,56,56,0.0,Rental,Private,,,Suppressed26 Downtown,[]
825,Suppressed27,Brighton,2135,102,102,0,33.0,33.0,0.0,69,69,0.0,Rental,Private,Y,,Suppressed27 Brighton,[]
826,Suppressed28,Jamaica Plain,2130,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,,Suppressed28 Jamaica Plain,[]
827,Suppressed29,Mattapan,2126,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Private,,,Suppressed29 Mattapan,[]
828,Suppressed3,Allston,2134,12,12,0,0.0,0.0,0.0,12,12,0.0,Rental,Private,,,Suppressed3 Allston,[]
829,Suppressed30,Roxbury,2125,13,13,0,0.0,0.0,0.0,13,13,0.0,Rental,Private,,,Suppressed30 Roxbury,[]
830,Suppressed31,Beacon Hill,2114,120,120,0,0.0,0.0,0.0,120,120,0.0,Rental,Private,,,Suppressed31 Beacon Hill,[]
831,Suppressed32,Roxbury,2119,19,19,0,0.0,0.0,0.0,19,19,0.0,Rental,Private,,,Suppressed32 Roxbury,[]
832,Suppressed33,Beacon Hill,2114,21,21,0,1.0,1.0,0.0,20,20,0.0,Rental,Private,,Y,Suppressed33 Beacon Hill,[]
833,Suppressed34,Mattapan,2126,48,48,0,0.0,0.0,0.0,46,46,0.0,Rental,Public,Y,,Suppressed34 Mattapan,[]
834,Suppressed35,Roxbury,2119,131,131,0,0.0,0.0,0.0,131,131,0.0,Rental,Private,,Y,Suppressed35 Roxbury,[]
835,Suppressed36,Fenway,2115,48,48,0,0.0,0.0,0.0,48,48,0.0,Rental,Private,,Y,Suppressed36 Fenway,[]
836,Suppressed4,Dorchester,2125,9,9,0,1.0,1.0,0.0,8,8,0.0,Rental,Private,,Y,Suppressed4 Dorchester,[]
837,Suppressed5,Dorchester,2125,12,12,0,0.0,0.0,0.0,12,12,0.0,Rental,Private,,,Suppressed5 Dorchester,[]
838,Suppressed6,West Roxbury,2132,4,4,0,0.0,0.0,0.0,4,4,0.0,Rental,Private,,,Suppressed6 West Roxbury,[]
839,Suppressed7,Charlestown,2129,25,25,0,0.0,0.0,0.0,25,25,0.0,Rental,Private,,,Suppressed7 Charlestown,[]
840,Suppressed8,Fenway,2115,14,14,0,1.0,1.0,0.0,13,13,0.0,Rental,Private,,,Suppressed8 Fenway,[]
841,Suppressed9,Roxbury,2119,9,9,0,0.0,0.0,0.0,9,9,0.0,Rental,Private,,,Suppressed9 Roxbury,[]
842,Symphony Court at Burbank Street,Fenway,2115,34,0,34,32.0,0.0,32.0,2,0,2.0,Ownership,Private,,,Symphony Court at Burbank Street Fenway,"['41-43 Westland Ave, Boston, MA 02115, United States']"
843,Symphony Plaza East,Back Bay,2115,188,188,0,0.0,0.0,0.0,188,188,0.0,Rental,Private,Y,Y,Symphony Plaza East Back Bay,"['334 Massachusetts Ave, Boston, MA 02115, United States']"
844,Symphony Plaza West,Fenway,2115,216,216,0,0.0,0.0,0.0,216,216,0.0,Rental,Private,Y,Y,Symphony Plaza West Fenway,"['334 Massachusetts Ave, Boston, MA 02115, United States']"
845,TAB I,Dorchester,2125,71,71,0,0.0,0.0,0.0,71,71,0.0,Rental,Private,Y,Y,TAB I Dorchester,"['70 Washington St, Dorchester, MA 02121, United States']"
846,TAB II,Jamaica Plain,2119,68,68,0,1.0,1.0,0.0,67,67,0.0,Rental,Private,,Y,TAB II Jamaica Plain,"['597 Centre St, Jamaica Plain, MA 02130, United States']"
847,TAB II?,Dorchester,2125,98,98,0,0.0,0.0,0.0,98,98,0.0,Rental,Private,,,TAB II? Dorchester,"['239 Neponset Ave, Dorchester, MA 02122, United States']"
848,Tai Tung Village,Chinatown,2111,215,215,0,1.0,1.0,0.0,214,214,0.0,Rental,Private,,Y,Tai Tung Village Chinatown,"['230 Harrison Ave, Boston, MA 02111, United States']"
849,Taino Tower,South End,2118,27,0,27,12.0,0.0,12.0,15,0,15.0,Ownership,Private,,,Taino Tower South End,"['640 Tremont St, Boston, MA 02118, United States']"
850,Talbot Commons Phase 1,Dorchester,2124,40,40,0,21.0,21.0,0.0,19,19,0.0,Rental,Private,,,Talbot Commons Phase 1 Dorchester,"['Talbot Ave, Boston, MA 02124, USA']"
851,Talbot/Bernard (Elderly) 202,Dorchester,2124,31,31,0,1.0,1.0,0.0,30,30,0.0,Rental,Private,Y,Y,Talbot/Bernard (Elderly) 202 Dorchester,"['193 Talbot Ave, Boston, MA 02124, United States', '210 Talbot Ave, Boston, MA 02124, United States']"
852,Talbot/Bernard (Rental),Dorchester,2124,44,44,0,0.0,0.0,0.0,44,44,0.0,Rental,Private,,,Talbot/Bernard (Rental) Dorchester,"['193 Talbot Ave, Boston, MA 02124, United States']"
853,Tate (VUP),Dorchester,2124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,Tate (VUP) Dorchester,"['150 Mt Vernon St #560, Dorchester, MA 02125, United States']"
854,Taurus Apts,Roxbury,2121,38,38,0,0.0,0.0,0.0,38,38,0.0,Rental,Private,,Y,Taurus Apts Roxbury,"['The Paulette K Ford Community Center 85 Lenox Street Paulette, Ford Way, Boston, MA 02118, United States']"
855,Taurus at Fountain Hill,Roxbury,2119,73,73,0,0.0,0.0,0.0,73,73,0.0,Rental,Private,,Y,Taurus at Fountain Hill Roxbury,"['143 Shirley St, Boston, MA 02119, United States']"
856,TDC III,South End,2118,61,61,0,46.0,46.0,0.0,15,15,0.0,Rental,Private,,,TDC III South End,"['434 Massachusetts Ave, Boston, MA 02118, United States']"
857,Tebroc Levant (HOME AGAIN),Dorchester,2124,5,1,4,0.0,0.0,0.0,5,1,4.0,Ownership/Rental,Private,,,Tebroc Levant (HOME AGAIN) Dorchester,"['75 Kneeland St #1102, Boston, MA 02111, United States']"
858,Telford 180 (Formerly Charlesview Telford),Brighton,2135,85,0,85,79.0,0.0,79.0,6,0,6.0,Ownership,Private,,,Telford 180 (Formerly Charlesview Telford) Brighton,"['404 Western Ave, Boston, MA 02134, United States']"
859,Ten Most Wanted - 1,Dorchester,2121,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,,Ten Most Wanted - 1 Dorchester,[]
860,Ten Most Wanted - 10,Roxbury,2125,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,,Ten Most Wanted - 10 Roxbury,[]
861,Ten Most Wanted - 11,Dorchester,2121,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,Ten Most Wanted - 11 Dorchester,"['40 Gibson St, Dorchester, MA 02122, United States']"
862,Ten Most Wanted - 12,Roxbury,2125,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,Ten Most Wanted - 12 Roxbury,[]
863,Ten Most Wanted - 13,Roxbury,2119,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,Ten Most Wanted - 13 Roxbury,[]
864,Ten Most Wanted - 14,Dorchester,2124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,Ten Most Wanted - 14 Dorchester,[]
865,Ten Most Wanted - 15,Roxbury,2125,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,Ten Most Wanted - 15 Roxbury,[]
866,Ten Most Wanted - 2,Mattapan,2126,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,Ten Most Wanted - 2 Mattapan,[]
867,Ten Most Wanted - 3,Roxbury,2119,4,2,2,0.0,0.0,0.0,4,2,2.0,Ownership/Rental,Private,,,Ten Most Wanted - 3 Roxbury,[]
868,Ten Most Wanted - 4,Dorchester,2122,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,Ten Most Wanted - 4 Dorchester,[]
869,Ten Most Wanted - 5,Dorchester,2121,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,Ten Most Wanted - 5 Dorchester,[]
870,Ten Most Wanted - 6,Dorchester,2121,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,Ten Most Wanted - 6 Dorchester,[]
871,Ten Most Wanted - 7,Dorchester,2124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership,Private,,,Ten Most Wanted - 7 Dorchester,[]
872,Ten Most Wanted - 8,Dorchester,2121,3,2,1,2.0,2.0,0.0,1,0,1.0,Ownership,Private,,,Ten Most Wanted - 8 Dorchester,[]
873,Ten Most Wanted - 9,Dorchester,2121,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,Ten Most Wanted - 9 Dorchester,[]
874,Tent City,South End,2116,270,270,0,0.0,0.0,0.0,270,270,0.0,Rental,Private,,,Tent City South End,"['130 Dartmouth St, Boston, MA 02116, United States']"
875,Thane St Apts,Dorchester,2124,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,Y,Thane St Apts Dorchester,"['Ferndale St, Boston, MA 02124, United States']"
876,The 1850 Condominium,South End,2118,87,0,87,76.0,0.0,76.0,11,0,11.0,Ownership,Private,,,The 1850 Condominium South End,"['90 Wareham St, Boston, MA 02118, United States']"
877,The Aberdeen,Brighton,2125,40,0,40,35.0,0.0,35.0,5,0,5.0,Ownership,Private,,,The Aberdeen Brighton,"['1650 Commonwealth Ave, Boston, MA 02135, United States']"
878,The Anchorage,Charlestown,2129,112,112,0,89.0,89.0,0.0,23,23,0.0,Rental,Private,Y,,The Anchorage Charlestown,"['103 9th St, Charlestown, MA 02129, United States']"
879,The Andi (South Bay Town Center Building C),Dorchester,2125,215,215,0,187.0,187.0,0.0,28,28,0.0,Rental,Private,,,The Andi (South Bay Town Center Building C) Dorchester,"['4 Lucy St, Boston, MA 02125, United States', '8 Allstate Rd, Boston, MA 02118, United States']"
880,The Beverly,West End,2114,239,239,0,0.0,0.0,0.0,239,239,0.0,Rental,Private,,,The Beverly West End,"['101 Beverly St, Boston, MA 02114, United States']"
881,The Boulevard,Downtown,2110,36,0,36,31.0,0.0,31.0,5,0,5.0,Ownership,Private,,,The Boulevard Downtown,"['Atlantic Ave, Boston, MA 02110, United States']"
882,The Brownstones,South End,2116,35,35,0,28.0,28.0,0.0,7,7,0.0,Rental,Private,,,The Brownstones South End,"['111 Dartmouth St, Boston, MA 02116, United States']"
883,The Bryant,South End,2116,50,0,50,48.0,0.0,48.0,2,0,2.0,Ownership,Private,,,The Bryant South End,"['303 Columbus Ave, Boston, MA 02116, United States']"
884,The Bulfinch,Mission Hill,2120,5,5,0,0.0,0.0,0.0,5,5,0.0,Ownership,Private,,,The Bulfinch Mission Hill,"['116 Huntington Ave, Boston, MA 02116, United States']"
885,The Carillon,Fenway,2115,31,30,1,30.0,30.0,0.0,1,0,1.0,Ownership/Rental,Private,,,The Carillon Fenway,"['185 Massachusetts Ave, Boston, MA 02115, United States']"
886,The Chester,South End,2118,17,17,0,7.0,7.0,0.0,10,10,0.0,Rental,Private,,Y,The Chester South End,"['Chester Park, Boston, MA 02118, USA']"
887,The Clarendon,Back Bay,2116,285,178,107,248.0,142.0,106.0,37,36,1.0,Ownership/Rental,Private,,,The Clarendon Back Bay,"['400 Stuart St, Boston, MA 02116, United States']"
888,The Clarion,Roxbury,2121,39,39,0,7.0,7.0,0.0,32,32,0.0,Rental,Private,,,The Clarion Roxbury,"['311 Blue Hill Avenue, Boston, MA 02121, United States']"
889,The Commons at Forest Hills,Jamaica Plain,2130,283,283,0,243.0,243.0,0.0,40,40,0.0,Rental,Private,,,The Commons at Forest Hills Jamaica Plain,"['3686 Washington St, Boston, MA 02130, United States']"
890,The Dorchester,Mattapan,2126,47,47,0,0.0,0.0,0.0,47,47,0.0,Rental,Private,?,Y,The Dorchester Mattapan,"['Dorchester, Boston, MA, USA']"
891,The Edge,Allston,2134,79,79,0,69.0,69.0,0.0,10,10,0.0,Rental,Private,,,The Edge Allston,"['65 Brainerd Rd, Allston, MA 02134, United States']"
892,The Graphic,Charlestown,2129,171,171,0,148.0,148.0,0.0,23,23,0.0,Rental,Private,,,The Graphic Charlestown,"['32 Cambridge St, Charlestown, MA 02129, United States']"
893,The Harmon Apartments (Boston Home Group),Dorchester,2124,36,0,36,6.0,0.0,6.0,30,30,0.0,Rental,Private,,,The Harmon Apartments (Boston Home Group) Dorchester,"['2045 Dorchester Ave, Boston, MA 02124, United States']"
894,The Harvey,Charlestown,2129,177,177,0,154.0,154.0,0.0,23,23,0.0,Rental,Private,,,The Harvey Charlestown,"['50 Hood Park Dr, Boston, MA 02129, United States']"
895,The Homes at Roxbury Crossing,Mission Hill,2120,22,0,22,0.0,0.0,0.0,22,0,22.0,Ownership,Private,,,The Homes at Roxbury Crossing Mission Hill,"['290 Ruggles St, Roxbury, MA 02120, United States']"
896,The Lancaster,Brighton,2134,55,0,55,37.0,0.0,37.0,18,0,18.0,Ownership,Private,,,The Lancaster Brighton,"['1501 Commonwealth Ave, Brighton, MA 02135, United States']"
